event_time,revenue_usd,uid,is_test
2023-03-09 15:43:38,4.99,15911313,0
2023-03-09 15:51:41,19.99,15911289,0
2023-03-09 15:53:11,0.99,15890263,0
2023-03-09 15:53:24,19.99,15911289,0
2023-03-09 15:53:32,0.99,15853169,0
2023-03-09 15:57:12,0.99,15900883,0
2023-03-09 15:59:10,4.99,15911557,0
2023-03-09 16:14:57,2.99,15853427,0
2023-03-09 16:19:35,2.99,15911995,0
2023-03-09 16:19:50,19.99,15911995,0
2023-03-09 16:20:28,2.99,15911995,0
2023-03-09 16:21:57,0.99,14962425,0
2023-03-09 16:23:09,49.99,15907275,0
2023-03-09 16:23:46,0.99,15901505,0
2023-03-09 16:23:52,19.99,15907275,0
2023-03-09 16:24:05,0.99,15907275,0
2023-03-09 16:24:15,19.99,15907275,0
2023-03-09 16:34:06,19.99,15912253,0
2023-03-09 16:34:18,0.99,15912253,0
2023-03-09 16:34:43,2.99,15912253,0
2023-03-09 16:34:57,2.99,15912253,0
2023-03-09 16:35:16,19.99,15912253,0
2023-03-09 16:37:37,19.99,15912253,0
2023-03-09 16:47:32,2.99,15912491,0
2023-03-09 16:47:49,2.99,15912491,0
2023-03-09 16:48:02,19.99,15912491,0
2023-03-09 17:22:24,19.99,15900693,0
2023-03-09 17:24:46,2.99,15856053,0
2023-03-09 17:50:40,2.99,15913557,0
2023-03-09 17:50:47,4.99,15856053,0
2023-03-09 17:50:55,4.99,15856053,0
2023-03-09 17:50:57,19.99,15913557,0
2023-03-09 17:56:18,2.99,15913535,0
2023-03-09 18:00:26,4.99,15913721,0
2023-03-09 18:02:45,4.99,15913721,0
2023-03-09 18:02:57,4.99,15913721,0
2023-03-09 18:04:27,2.99,15913721,0
2023-03-09 18:22:39,0.99,15845325,0
2023-03-09 18:31:02,49.99,15879273,0
2023-03-09 18:31:20,19.99,15879273,0
2023-03-09 18:31:37,19.99,15879273,0
2023-03-09 18:34:02,4.99,15732103,0
2023-03-09 18:39:10,19.99,15434751,0
2023-03-09 18:46:47,19.99,15200845,0
2023-03-09 18:48:26,2.99,15822193,0
2023-03-09 18:55:42,19.99,15913153,0
2023-03-09 19:07:10,0.99,15674913,0
2023-03-09 19:17:11,19.99,15914893,0
2023-03-09 19:17:50,2.99,15914893,0
2023-03-09 19:18:58,2.99,15895659,0
2023-03-09 19:20:09,2.99,15914957,0
2023-03-09 19:20:20,19.99,15914957,0
2023-03-09 19:20:35,4.99,15914957,0
2023-03-09 19:21:15,19.99,15914975,0
2023-03-09 19:21:27,6.99,15914975,0
2023-03-09 19:22:05,2.99,15914975,0
2023-03-09 19:22:17,19.99,15914975,0
2023-03-09 19:29:53,2.99,15915095,0
2023-03-09 19:32:08,6.99,15914893,0
2023-03-09 19:36:06,2.99,15915187,0
2023-03-09 19:36:21,19.99,15915187,0
2023-03-09 19:36:43,19.99,15915187,0
2023-03-09 19:40:01,19.99,15763901,0
2023-03-09 19:43:20,19.99,15889065,0
2023-03-09 19:49:34,4.99,15121595,0
2023-03-09 19:50:53,19.99,15121595,0
2023-03-09 19:52:44,4.99,14939483,0
2023-03-09 19:53:08,2.99,14939483,0
2023-03-09 19:53:32,4.99,14939483,0
2023-03-09 19:54:20,49.99,15763901,0
2023-03-09 19:54:31,49.99,15763901,0
2023-03-09 19:55:11,49.99,15763901,0
2023-03-09 19:55:21,49.99,15763901,0
2023-03-09 19:55:45,4.99,15763901,0
2023-03-09 19:58:31,6.99,14939483,0
2023-03-09 20:05:53,19.99,15851501,0
2023-03-09 20:14:38,4.99,15862001,0
2023-03-09 20:15:40,2.99,15915749,0
2023-03-09 20:16:01,2.99,15915749,0
2023-03-09 20:16:18,19.99,15915749,0
2023-03-09 20:16:30,2.99,15915749,0
2023-03-09 20:16:49,19.99,15915749,0
2023-03-09 20:21:54,49.99,15847127,0
2023-03-09 20:22:08,19.99,15847127,0
2023-03-09 20:22:55,49.99,15915749,0
2023-03-09 20:23:13,19.99,15915749,0
2023-03-09 20:23:25,19.99,15915749,0
2023-03-09 20:26:32,0.99,15901621,0
2023-03-09 20:35:59,19.99,15851501,0
2023-03-09 20:36:08,19.99,15851501,0
2023-03-09 20:36:10,2.99,15916035,0
2023-03-09 20:36:22,19.99,15851501,0
2023-03-09 20:36:47,19.99,15916035,0
2023-03-09 20:36:55,19.99,15916035,0
2023-03-09 20:37:18,19.99,15916035,0
2023-03-09 20:40:15,0.99,15669251,0
2023-03-09 20:43:25,19.99,15851501,0
2023-03-09 20:43:41,19.99,15851501,0
2023-03-09 20:51:22,0.99,15692967,0
2023-03-09 21:01:41,2.99,15916367,0
2023-03-09 21:01:59,19.99,15916367,0
2023-03-09 21:02:10,19.99,15916367,0
2023-03-09 21:02:29,19.99,15916367,0
2023-03-09 21:19:04,0.99,15832375,0
2023-03-09 21:28:51,6.99,15916731,0
2023-03-09 21:29:01,19.99,15916731,0
2023-03-09 21:29:42,49.99,15916731,0
2023-03-09 21:30:12,19.99,15916731,0
2023-03-09 21:30:19,49.99,15916731,0
2023-03-09 21:30:36,19.99,15916731,0
2023-03-09 21:33:23,6.99,15866931,0
2023-03-09 21:44:40,2.99,15880011,0
2023-03-09 21:44:41,2.99,15916731,0
2023-03-09 21:44:53,19.99,15916731,0
2023-03-09 21:45:18,19.99,15916731,0
2023-03-09 21:45:28,19.99,15916731,0
2023-03-09 21:45:41,0.99,15916731,0
2023-03-09 21:45:59,49.99,15916731,0
2023-03-09 21:46:07,49.99,15916731,0
2023-03-09 21:46:47,2.99,15916731,0
2023-03-09 21:46:55,2.99,15916731,0
2023-03-09 21:47:02,6.99,15916731,0
